herd,field,acres_grazed,move_type,days,date,cover,avg from sections,observer,Notes
brood,GP3,,day_in,14,10/9/2025,2772,2772,Saskia did move,"start n. buffer, plots 8, 7, 6"
brood,GP3,,day_out,,10/23/2025,2163,2163,Zoe did this move,
brood,GP2B,,day_in,4,10/23/2025,,,Zoe did this move,
brood,GP2B,,day_out,,10/27/2025,2264,,,
brood,GP2A,3.75,day_in,2,10/27/2025,3020,,,acreage from new borders drawn around wet area plus willows rarely or never grazed
brood,GP2A,3.75,day_out,,10/29/2025,2040,,,acreage from new borders drawn around wet area plus willows rarely or never grazed
brood,GP1B,,day_in,1,10/29/2025,2502,,,
brood,GP1B,,day_out,,10/30/2025,,,,
brood,GP1A,,day_in,5,10/30/2025,,,,
brood,GP1A,,day_out,,11/4/2025,,,Alyssa did move,
brood,GP7,,day_in,5,11/4/2025,,,Alyssa did move,
brood,GP7,,day_out,,11/9/2025,,,Alyssa did move,
brood,leos,,day_in,5,11/9/2025,,,Alyssa did move,
brood,leos,,day_out,,11/14/2025,,,Alyssa did move,
brood,playground,,day_in,11,11/14/2025,,,Alyssa did move,Jane has some photos of this graze
brood,playground,,day_out,,11/25/2025,,,Alyssa did move,
brood,GP6,,day_in,5,11/25/2025,,,Alyssa did move,was this all of GP6?
brood,GP6,,day_out,,11/29/2025,1746,,Alyssa did move,"photo, on both Zoe and Alyssa's phones"
brood,GP1B,,day_in,1,11/29/2025,2040,,Alyssa did move,is this GP1A or all of GP1?
brood,GP1B,,day_out,,11/30/2025,,,,
brood,GP1A,,day_in,1,11/30/2025,,,,
brood,GP1A,,day_out,,12/1/2025,,,,
brood,Plains,,day_in,,12/1/2025,,,,
brood,Plains,,day_out,,,,,,
feeders,sunset_field,,day_in,2,5/1/2025,2005.6,,,
feeders,sunset_field,,day_out,,5/3/2025,1508,,,
feeders,sunset_hill,,day_in,3,5/3/2025,2418,,,
feeders,sunset_hill,,day_out,,5/6/2025,2084.5,,,
feeders,lower_sunset,,day_in,4,5/6/2025,3902,,,
feeders,lower_sunset,,day_out,,5/10/2025,,,,
feeders,pond_field,0.4,day_in,1,5/10/2025,,,,just dry corner
feeders,pond_field,0.4,day_out,,5/11/2025,2278,,,just dry corner
feeders,horse,3.7,day_in,9,5/11/2025,3776,,,"not including pond corner. borders of Horse should not include area in upper corner of Pond.  That corner has been used as partial ""Pond"" for 2025"
feeders,horse,3.7,day_out,,5/20/2025,,,,"not including pond corner. borders of Horse should not include area in upper corner of Pond.  That corner has been used as partial ""Pond"" for 2025"
feeders,lower_home,,day_in,3,5/20/2025,,,,
feeders,lower_home,,day_out,,5/23/2025,,,,
feeders,triangle_lower,,day_in,4,5/23/2025,,,,
feeders,triangle_lower,,day_out,,5/27/2025,1970,,,
feeders,railroad,,day_in,3,5/27/2025,4126,,,
feeders,railroad,,day_out,,5/30/2025,2810,,,
feeders,drainage,9.33,day_in,11,5/30/2025,3776,,,dryonly
feeders,drainage,9.33,day_out,,6/10/2025,2614,,,dryonly
feeders,lower_barberry,,day_in,3,6/10/2025,5750,,,
feeders,lower_barberry,,day_out,,6/13/2025,2894,,,
feeders,lower_underhill,,day_in,3,6/13/2025,6338,,,
feeders,lower_underhill,,day_out,,6/16/2025,,,,
feeders,sunset_field,,day_in,3,6/16/2025,,,,
feeders,sunset_field,,day_out,,6/19/2025,2614,,,
