herd,field,paddock_plot,move _type,days,date,,,,,,,
feeders,lower_sunset,,day_in,2,5/7/2025,,,,,,,
feeders,horse,,day_in,2,5/9/2025,,,,,,,
feeders,lower_home,,day_in,2,5/11/2025,,,,,,,
feeders,railroad,,day_in,2,5/13/2025,,,,,,,
feeders,drainage,,day_in,7,5/16/2025,,,,,,,
feeders,wilson,,day_in,4,5/23/2025,,,,,,,
feeders,underhill,,day_in,4,5/27/2025,,,,,,,
feeders,underhill_wet,,day_in,4,5/31/2025,,,,,,,
feeders,sunset_field,,day_in,2,6/4/2025,,,,,,,
feeders,sunset_hill,,day_in,5,6/6/2025,,,,,,,
feeders,horse,,day_in,5,6/11/2025,,,,,,,
feeders,lower_home,,day_in,4,6/16/2025,,,,,,,
feeders,railroad,,day_in,2,6/20/2025,,,,,,,
feeders,drainage,,day_in,14,6/22/2025,,,,,,,
feeders,lower_barberry,,day_in,2,7/6/2025,,,,,,,
feeders,wilson,,day_in,7,7/8/2025,,,,,,,
feeders,wilson_wet,,day_in,2,7/15/2025,,,,,,,
feeders,underhill,,day_in,5,7/17/2025,,,,,,,
feeders,underhill_wet,,day_in,8,7/22/2025,,,,,,,
feeders,lower_sunset,,day_in,7,7/30/2025,,,,,,,
feeders,sunset_hill,,day_in,5,8/6/2025,,,,,,,
feeders,sunset_field,,day_in,2,8/11/2025,,,,,,,
feeders,horse,,day_in,5,8/13/2025,,,,,,,
feeders,triangle_lower,,day_in,3,8/18/2025,,,,,,,
feeders,triangle_upper,,day_in,5,8/21/2025,,,,,,,
feeders,railroad,,day_in,2,8/26/2025,,,,,,,
feeders,drainage,,day_in,14,8/28/2025,,,,,,,
feeders,lower_barberry,,day_in,2,9/11/2025,,,,,,,
feeders,underhill,,day_in,5,9/13/2025,,,,,,,
feeders,underhill_wet,,day_in,8,9/18/2025,,,,,,,
feeders,wilson,,day_in,5,9/26/2025,,,,,,,
feeders,briar,,day_in,2,10/1/2025,,,,,,,
feeders,drainage,,day_in,10,10/3/2025,,,,,,,
feeders,lower_barberry,,day_in,3,10/13/2025,,,,,,,
feeders,wilson,,day_in,9,10/16/2025,,,,,,,
feeders,underhill,,day_in,5,10/25/2025,,,,,,,
feeders,underhill_wet,,day_in,4,10/30/2025,,,,,,,
feeders,lower_underhill,,day_in,3,11/3/2025,,,,,,,
feeders,bull,,day_in,5,11/6/2025,,,,,,,
feeders,sunset_field,,day_out,,5/3/2025,,,,,,,
feeders,sunset_hill,,day_out,,5/7/2025,,,,,,,
feeders,lower_sunset,,day_out,,5/9/2025,,,,,,,
feeders,horse,,day_out,,5/11/2025,,,,,,,
feeders,lower_home,,day_out,,5/13/2025,,,,,,,
feeders,railroad,,day_out,,5/15/2025,,,,,,,
feeders,drainage,,day_out,,5/23/2025,,,,,,,
feeders,wilson,,day_out,,5/27/2025,,,,,,,
feeders,underhill,,day_out,,5/31/2025,,,,,,,
feeders,underhill_wet,,day_out,,6/4/2025,,,,,,,
feeders,sunset_field,,day_out,,6/6/2025,,,,,,,
feeders,sunset_hill,,day_out,,6/11/2025,,,,,,,
feeders,horse,,day_out,,6/16/2025,,,,,,,
feeders,lower_home,,day_out,,6/20/2025,,,,,,,
feeders,railroad,,day_out,,6/22/2025,,,,,,,
feeders,drainage,,day_out,,7/6/2025,,,,,,,
feeders,lower_barberry,,day_out,,7/8/2025,,,,,,,
feeders,wilson,,day_out,,7/15/2025,,,,,,,
feeders,wilson_wet,,day_out,,7/17/2025,,,,,,,
feeders,underhill,,day_out,,7/22/2025,,,,,,,
feeders,underhill_wet,,day_out,,7/30/2025,,,,,,,
feeders,lower_sunset,,day_out,,8/6/2025,,,,,,,
feeders,sunset_hill,,day_out,,8/11/2025,,,,,,,
feeders,sunset_field,,day_out,,8/13/2025,,,,,,,
feeders,horse,,day_out,,8/18/2025,,,,,,,
