year,sample_porcesed date,farm,type,synthesized,field2,field,location,cut_date,cut_month,cat,category, bales,moisture,dry_matter,crude_protein,available_protein,adicp_per,Adj_crude_protein_percentDM,soluble_protein_perCP,aNDF_percentDM,acid_detergent_fiber,crude_fat,total_digestible_nutrient,ne_lactation_mcal.lb,ne_maintenance_mcal.lb,ne_gain_mcal.lb,calcium,phosphorus,magnesium,potassium,sodium,iron_ppm,zinc_ppm,copper_ppm,mn_ppm,mo_ppm,sulfur_percent,rel_feed_value,ash_percent,degradable_protein_percentCP,chloride_ion_percent,HorseDE_Mcal.lb,lignin_per,ndicp_per,starch_per,non_fiber_carb_per,water_sol_carb_per,simple_sugars_per,,%NDICP as fed,?,notes
2022,7/28/22,APPLETON FARMS-,GRASS HAY,x,UPPER TRIANGLE,triangle,uper,6/22/22,june,22-Jun,first,12,8.3,91.7,8,7.1,0.8,,,,39.1,2.4,60,0.53,0.55,0.29,0.44,0.22,0.19,1.57,,,,,,,0.15,,6.48,64,0.42,0.97,4.8,2.7,0.7,21.5,10.9,6.2,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,WEST WILLIAMS,williams_w,,6/26/22,june,22-Jun,first,13,9.4,90.6,8.8,8.1,0.7,,,,37.1,2.5,63,0.58,0.6,0.34,0.48,0.21,0.23,1.31,,,,,,,0.18,,5.93,64,0.43,1.03,4.2,2.6,0.5,25,13.8,8.7,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILLIAMS,williams_w,,7/17/23,july,,forage_regrowth,,9.7,90.3,11.6,10.8,0.8,,,,56.7,2.3,62,0.58,0.59,0.33,0.55,0.36,0.29,1.33,,,,,,,0.22,,6.27,75,0.67,1.03,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILLIAMS 1A 2ND CUT,williams_1a,,9/6/23,september,23-Aug,second,11,9.2,90.8,11.7,10.6,1.1,,,,62.1,3.1,60,0.53,0.55,0.3,0.52,0.32,0.24,1.37,,,,,,,0.2,,7.86,64,0.5,0.94,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILLIAMS 1A FIRST CUT,williams_1a,,5/31/23,may,23-May,first,6.5,10,90,10.1,9.4,0.7,,,,55.3,2.7,66,0.63,0.65,0.38,0.39,0.24,0.17,1.58,,,,,,,0.19,,5.26,71,0.55,1.07,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILLIAMS 1ST CUT,williams_w,,5/31/23,may,23-May,first,8,9.2,90.8,10.4,9.6,0.8,,,,53.9,2.7,64,0.62,0.63,0.36,0.45,0.23,0.22,1.18,,,,,,,0.2,,5.14,70,0.59,1.09,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILLIAMS REFUGE,williams_w,refuge,7/17/23,july,,forage,,8.6,91.4,9.9,9,0.9,,,,59.6,2.6,61,0.56,0.57,0.31,0.54,0.27,0.25,1.23,,,,,,,0.21,,6.18,72,0.46,1,,,,,,,,,,
2023,10/5/23,APPLETON FARM,DAMP MMG HAY,,WILLIAMS SECOND CUT,williams_w,*,8/1/23,august,23-Aug,second,9,19.7,80.3,11,9.9,1.2,,,,63.3,3,59,0.52,0.54,0.29,0.46,0.23,0.21,1.51,,,,,,,0.21,,7.14,67,0.61,0.94,,,,,,,,,,
2022,7/28/22,APPLETON FARMS-,GRASS HAY,,WILSON,wilson,,6/26/22,june,22-Jun,first,31,8.2,91.9,8,7.2,0.8,,,,38.7,2.4,61,0.54,0.57,0.31,0.41,0.21,0.21,1.57,,,,,,,0.13,,5.74,65,0.48,0.98,4.2,2.5,0.6,21.2,12.2,6.2,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILSON 2ND CUT,wilson,,8/5/23,august,23-Aug,second,14,6.3,93.7,10.4,9.4,1.1,,,,60.8,3,63,0.56,0.59,0.33,0.49,0.33,0.23,0.96,,,,,,,0.21,,6.4,67,0.38,0.99,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILSON FIRST CUT,wilson,,5/31/23,may,23-May,first,5,10.7,89.3,12.7,11.9,0.8,,,,54.4,2.7,66,0.63,0.65,0.38,0.38,0.24,0.15,2.11,,,,,,,0.19,,6.24,73,0.54,1.06,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILSON JULY,wilson,,7/17/23,july,,forage_regrowth,,8.8,91.2,12.7,11.7,1,,,,56.5,2.7,60,0.57,0.56,0.31,0.53,0.29,0.23,1.69,,,,,,,0.22,,8.67,73,0.84,0.97,,,,,,,,,,
2023,10/5/23,APPLETON FARM,MMG HAY,,WILSON WET FALLOW JULY,wilson,refuge,7/17/23,july,,forage,,9,91,9.9,9,0.9,,,,66.6,2,57,0.47,0.5,0.25,0.35,0.2,0.21,1.26,,,,,,,0.18,,6.31,72,0.78,0.9,,,,,,,,,,
2024,,,,,PLAINS 1ST CUT,plains,,5/31/24,may,,first,,19,81,12.3,11.1,1.2,12.3,,62.8,39,2.2,57,0.5,0.5,0.25,0.63,0.33,0.24,1.78,0.069,146,19,5,31,3.1,0.21,87,7.35,67,0.58,0.92,,,,,,,,,,
2024,,,,,PLAYGROUND 1ST CUT,playground,,6/10/24,june,,first,,18.3,81.7,12.5,11.1,1.5,12.1,,56.3,41.6,1.8,57,0.53,0.5,0.25,1.03,0.31,0.4,1.26,0.067,159,19,5,20,3.3,0.2,93,7.53,70,0.5,0.98,,,,,,,,,,
2024,,,,,LEOS 1ST CUT,leos,,6/9/24,june,,first,,18.2,81.8,9.9,8.6,1.3,9.9,,60.1,37,1.5,59,0.53,0.53,0.28,0.85,0.32,0.3,1.34,0.157,92,18,5,19,3.6,0.15,93,5.52,66,0.59,1,,,,,,,,,,
2024,,,,,LAMSON NORTH 1ST CUT,lamson_n,,5/24/24,may,,first,,18.6,81.4,11.4,10,1.4,11.4,,68.7,40.6,2.1,58,0.46,0.51,0.25,0.33,0.3,0.16,1.19,0.126,517,18,5,34,3.2,0.18,78,5.98,67,0.46,0.88,,,,,,,,,,
