year,sample_porcesed date,farm,type,synthesized,field2,field,location,cut_date,cut_month,cat,category, bales,moisture,dry_matter,crude_protein,available_protein,adicp_per,Adj_crude_protein_percentDM,soluble_protein_perCP,aNDF_percentDM,acid_detergent_fiber,crude_fat,total_digestible_nutrient,ne_lactation_mcal.lb,ne_maintenance_mcal.lb,ne_gain_mcal.lb,calcium,phosphorus,magnesium,potassium,sodium,iron_ppm,zinc_ppm,copper_ppm,mn_ppm,mo_ppm,sulfur_percent,rel_feed_value,ash_percent,degradable_protein_percentCP,chloride_ion_percent,HorseDE_Mcal.lb,lignin_per,ndicp_per,starch_per,non_fiber_carb_per,water_sol_carb_per,simple_sugars_per,,%NDICP as fed,?,notes
2025,S2 BOOT BBS ALLENS WARM SEASON,allens_pond,grass,,Andropogon gerardii,allens,,7/15/25,july,,grass,,9.6,90.4,8.2,8,0.3,8.2,27,73.4,40.8,,59,0.42,0.53,0.28,0.37,0.25,0.25,1.04,0.011,157,26,6,72,1.6,0.22,72,4.77,61,0.18,0.88,5.3,4.3,0.2,10.6,8.9,6.6,,3.1,2,
2025,ERAGROSTIS SPECTABILIS,hilltop,grass,,Eragrostis spectabilis,founders,,7/15/25,july,,grass,,9.2,90.8,9.6,9.2,0.4,9.6,26,69.4,39.7,,59,0.46,0.53,0.27,0.47,0.27,0.1,1.55,0.008,152,19,10,27,16.4,0.18,78,6.69,60,0.14,0.89,5.3,4.4,1.1,10.9,7.2,6.6,,3.4,3,
2025,S1 ALLENS WARM SEASON,allens_pond,forage,,warm season forages,allens,,7/15/25,july,,forage,,8.6,91.5,7.3,6.9,0.3,7.3,33,76.4,43.7,,56,0.35,0.48,0.22,0.43,0.26,0.24,0.89,0.013,103,25,5,73,1.8,0.2,67,4.04,63,0.24,0.85,6.1,2.9,0.4,10.1,8.1,6,,2.2,2,
2025,SWITCHGRASS HILLTOP,hilltop,grass,,Panicum virgatum,founders,,7/15/25,july,,grass,,8,92,7.5,6.9,0.6,7.5,32,77.6,44,,55,0.32,0.46,0.21,0.31,0.21,0.15,1.62,0.012,105,23,6,34,5.5,0.17,65,5.63,60,0.25,0.8,5.5,2.7,0.2,6.9,6.3,4.9,,2.4,2,
2025,CAVEX LUPILING HILLTOP,hilltop,sedge,,Carex lupilina,founders,,7/15/25,july,,sedge,,9.6,90.4,16.1,15.3,0.8,16.1,27,53.3,31.8,,61,0.59,0.58,0.32,0.28,0.26,0.15,2.44,0.02,97,24,11,26,1.2,0.27,112,8.25,75,0.21,1.02,5,5,0.7,19.8,11.1,7.7,,2.6,4,
2025,CAVEX STRIETA HILLTOP,hilltop,sedge,,Carex striata,founders,,7/15/25,july,,sedge,,10.1,89.9,15,12.1,2.9,13.1,8,59.9,34.8,,58,0.53,0.52,0.27,0.33,0.23,0.14,2.05,0.002,169,25,11,50,2.6,0.26,96,8.09,74,0.21,0.94,4.7,5.7,1.4,14.4,10.8,8.4,,2.5,1,
2025,SWITCHGRASS S4 ALLENS POND,allens_pond,grass,,Panicum virgatum,allens,,7/15/25,july,,grass,,10,90,10.3,10.1,0.2,10.3,39,68.7,36.2,,63,0.49,0.58,0.32,0.48,0.3,0.38,0.85,0.008,65,17,6,40,0.9,0.15,82,4.51,75,0.17,0.93,3.6,4.2,1.4,14.4,10.1,8.2,,2.1,4,
2025,LUDIAN GRASS HILLTOP,hilltop,grass,,Sorghastrum nutans,founders,,7/15/25,july,,grass,,8.9,91.1,12.3,12,0.3,12.3,35,70.7,37.4,,60,0.45,0.54,0.28,0.45,0.29,0.18,1.38,0.002,148,23,7,30,6.8,0.15,79,5.24,68,0.21,0.89,4.4,3.5,0.2,9.3,8,7.5,,2.4,4,
2025,F2 SBS CLOVER BOBS ALLENS,allens_pond,forage,,warm season forages,allens,,7/15/25,july,,forage,,10.7,89.3,13.6,13.2,0.4,13.6,39,61.2,41.5,,56,0.5,0.49,0.24,0.62,0.28,0.46,0.93,0.209,99,21,6,57,1.2,0.34,86,7.08,67,0.64,0.94,7.7,3.7,0.2,15.5,9.3,6.3,,2.7,5,
2025,GRASY MIX ALLENS,allens_pond,forage,,warm season forages,allens,,7/15/25,july,,forage,,9.4,90.7,7.8,7.5,0.3,7.8,39,72.2,41.6,,59,0.43,0.52,0.27,0.42,0.29,0.3,0.95,0.023,90,25,6,132,1.9,0.22,73,4.66,61,0.25,0.89,5.7,4.8,0.5,12.6,8.4,5.4,,2.8,3,
2025,S3 PRE BOOT BBS ALLENS,allens_pond,grass,,Andropogon gerardii,allens,,7/15/25,july,,grass,,10.6,89.4,8.1,7.9,0.2,8.1,26,65.4,35.2,,65,0.55,0.63,0.36,0.45,0.32,0.35,0.87,0.017,71,28,8,76,1,0.13,88,3.37,71,0.3,1.02,3.9,3.5,1.8,20,12.3,8.9,,3.1,2,
