herd,field,paddock_plot,move_type,days,date,
brood,GP4B ,1,day_in,1,8/9/2025,
brood,GP4A,1,day_in,3,8/10/2025,
brood,GP3,1,day_in,9,8/13/2025,
brood,GP2B,1,day_in,5,8/22/2025,
brood,GP2A,1,day_in,2,8/27/2025,
brood,GP1B,1,day_in,4,8/29/2025,
brood,plains_wet,1,day_in,4,9/2/2025,
brood,long_meadow,1,day_in,6,9/6/2025,
brood,GP8A,1,day_in,4,9/12/2025,
brood,GP8C,1,day_in,2,9/16/2025,
brood,GP7,1,day_in,6,9/18/2025,
brood,GP6C ,1,day_in,1,9/24/2025,
brood,GP6B,1,day_in,2,9/25/2025,
brood,GP6A,1,day_in,1,9/27/2025,
brood,GP5A,1,day_in,1,9/28/2025,
brood,GP5C,1,day_in,1,9/29/2025,
brood,GP4C ,1,day_in,3,9/30/2025,
brood,GP4B ,1,day_in,3,10/3/2025,
brood,GP4A,1,day_in,3,10/6/2025,
brood,GP3,1,day_in,14,10/9/2025,
brood,GP2B,1,day_in,4,10/23/2025,
brood,GP2A,1,day_in,2,10/27/2025,
brood,GP1B,1,day_in,1,10/29/2025,
brood,GP1A,1,day_in,5,10/30/2025,
brood,GP7,1,day_in,5,11/4/2025,
brood,leos,1,day_in,5,11/9/2025,
brood,playground,1,day_in,11,11/14/2025,
brood,GP6,1,day_in,5,11/25/2025,
brood,GP1,1,day_in,,11/30/2025,
feeders,sunset_field,1,day_in,2,5/1/2025,
feeders,sunset_hill,1,day_in,3,5/3/2025,
feeders,lower_sunset,1,day_in,4,5/6/2025,
feeders,pond_field,1,day_in,1,5/10/2025,
feeders,horse,1,day_in,9,5/11/2025,
feeders,lower_home,1,day_in,3,5/20/2025,
feeders,triangle_lower,1,day_in,4,5/23/2025,
feeders,railroad,1,day_in,3,5/27/2025,
feeders,drainage,1,day_in,11,5/30/2025,
feeders,lower_barberry,1,day_in,3,6/10/2025,
feeders,lower_underhill,1,day_in,3,6/13/2025,
feeders,sunset_field,1,day_in,3,6/16/2025,
feeders,sunset_hill,1,day_in,6,6/19/2025,
feeders,pond_field,1,day_in,3,6/25/2025,
feeders,horse,1,day_in,9,6/28/2025,
feeders,lower_home,1,day_in,3,7/7/2025,
feeders,triangle_lower,1,day_in,3,7/10/2025,
feeders,railroad,1,day_in,3,7/13/2025,
feeders,drainage,1,day_in,14,7/16/2025,
feeders,lower_underhill,1,day_in,4,7/30/2025,
feeders,lower_barberry,1,day_in,3,8/3/2025,
feeders,underhill,1,day_in,10,8/6/2025,
feeders,barberry_woods,1,day_in,2,8/16/2025,
feeders,bull,1,day_in,3,8/18/2025,
feeders,sunset_field,1,day_in,3,8/21/2025,
feeders,sunset_hill,1,day_in,4,8/24/2025,
feeders,pond_field,1,day_in,5,8/28/2025,
feeders,horse,1,day_in,6,9/2/2025,
feeders,lower_home,1,day_in,2,9/8/2025,
feeders,triangle_lower,1,day_in,3,9/10/2025,
feeders,triangle_upper,1,day_in,4,9/13/2025,
feeders,railroad,1,day_in,2,9/17/2025,
feeders,briar,1,day_in,14,9/19/2025,
feeders,drainage,1,day_in,10,10/3/2025,
feeders,lower_barberry,1,day_in,3,10/13/2025,
feeders,barberry_woods,1,day_in,3,10/16/2025,
feeders,wilson,1,day_in,6,10/19/2025,
feeders,underhill,1,day_in,5,10/25/2025,
feeders,underhill_wet,1,day_in,7,10/30/2025,
feeders,bull,1,day_in,5,11/6/2025,
feeders,sunset_hill,1,day_in,3,11/11/2025,
feeders,lower_sunset,1,day_in,7,11/14/2025,
feeders,williams_west,1,day_in,,11/21/2025,
